date,americano,cafelatte,cafemoca,caramelmatk,icedamericano
2016-09-18,33.10675,24.11035,21.19152,30.90763,5.35785
2016-09-19,35.26589,21.55137,17.59296,29.38824,5.67772
2016-09-20,34.62614,23.51059,16.59336,27.34906,5.63774
2016-09-21,33.38664,23.31067,18.11275,30.66773,6.43742
2016-09-22,35.9856,22.95081,19.2323,30.14794,4.75809
2016-09-23,31.90723,22.15113,20.71171,27.10915,4.2383
2016-09-24,29.26829,21.51139,21.47141,30.62774,4.63814
2016-09-25,30.66773,24.07037,20.59176,31.18752,4.67812
2016-09-26,36.50539,23.35065,18.19272,27.78888,5.4778
2016-09-27,36.62534,26.82926,20.59176,33.86645,4.75809
2016-09-28,35.42582,21.9912,19.39224,31.46741,5.03798
2016-09-29,31.7473,22.9908,18.9924,30.14794,3.95841
2016-09-30,28.26869,20.91163,20.83166,31.82726,4.03838
2016-10-01,30.86765,22.2311,20.75169,29.90803,3.15873
2016-10-02,31.26749,25.34986,22.9908,33.10675,3.71851
2016-10-03,34.58616,24.19032,21.03158,32.26709,5.75769
2016-10-04,33.70651,24.2303,17.79288,28.34866,5.35785
2016-10-05,34.70611,22.07117,18.91243,29.38824,4.87804
2016-10-06,33.30667,22.75089,20.27189,33.2267,5.27788
2016-10-07,30.94762,26.54938,17.75289,27.90883,4.19832
2016-10-08,28.30867,25.54978,20.75169,30.82766,3.11875
2016-10-09,31.70731,25.78968,25.18992,34.18632,3.2387
2016-10-10,33.94642,23.87045,19.47221,33.46661,3.03878
2016-10-11,33.7465,24.55017,20.55177,33.66653,3.11875
2016-10-12,35.18592,26.2295,21.07157,34.06637,3.43862
2016-10-13,34.42622,25.62974,19.71211,32.70691,3.71851
2016-10-14,29.90803,24.67013,19.51219,30.90763,4.59816
2016-10-15,28.14874,25.66973,22.71091,31.26749,3.51859
2016-10-16,30.86765,26.94922,22.39104,39.02439,3.27868
2016-10-17,34.62614,22.27109,21.91123,32.26709,4.63814
2016-10-18,34.58616,22.9908,20.63174,32.94682,4.07836
2016-10-19,36.82526,23.2307,22.79088,36.90523,4.83806
2016-10-20,33.66653,23.51059,22.19112,32.82686,4.11835
2016-10-21,29.94802,21.9912,20.51179,31.82726,3.79848
2016-10-22,30.10795,20.95161,18.79248,29.7481,3.11875
2016-10-23,38.38464,25.54978,24.63014,34.18632,3.35865
